cuadro,categoria,region,valor
Principales aperturas,Servicios de telefonía e internet,Cuyo,2.4
Principales aperturas,Servicios de telefonía e internet,Patagonia,3.1
Principales aperturas,Recreación y cultura,GBA,7.5
Principales aperturas,Recreación y cultura,Pampeana,7.3999999999999995
Principales aperturas,Recreación y cultura,Noreste,6.2
Principales aperturas,Recreación y cultura,Noroeste,5.8999999999999995
Principales aperturas,Recreación y cultura,Cuyo,6.7
Principales aperturas,Recreación y cultura,Patagonia,7.8
Principales aperturas,Servicios recreativos y culturales,GBA,3.0
Principales aperturas,Servicios recreativos y culturales,Pampeana,2.9000000000000004
Principales aperturas,Servicios recreativos y culturales,Noreste,2.3
Principales aperturas,Servicios recreativos y culturales,Noroeste,2.3
Principales aperturas,Servicios recreativos y culturales,Cuyo,2.7
Principales aperturas,Servicios recreativos y culturales,Patagonia,3.0
Principales aperturas,"Periódicos, diarios, revistas, libros y artículos de papelería",GBA,1.5
Principales aperturas,"Periódicos, diarios, revistas, libros y artículos de papelería",Pampeana,1.6
Principales aperturas,"Periódicos, diarios, revistas, libros y artículos de papelería",Noreste,1.7999999999999998
Principales aperturas,"Periódicos, diarios, revistas, libros y artículos de papelería",Noroeste,1.6
Principales aperturas,"Periódicos, diarios, revistas, libros y artículos de papelería",Cuyo,1.5
Principales aperturas,"Periódicos, diarios, revistas, libros y artículos de papelería",Patagonia,1.7999999999999998
Principales aperturas,Educación,GBA,3.0
Principales aperturas,Educación,Pampeana,1.6
Principales aperturas,Educación,Noreste,1.4000000000000001
Principales aperturas,Educación,Noroeste,2.0
Principales aperturas,Educación,Cuyo,2.1999999999999997
Principales aperturas,Educación,Patagonia,2.1
Principales aperturas,Restaurantes y hoteles,GBA,10.8
Principales aperturas,Restaurantes y hoteles,Pampeana,8.1
Principales aperturas,Restaurantes y hoteles,Noreste,5.0
Principales aperturas,Restaurantes y hoteles,Noroeste,8.0
Principales aperturas,Restaurantes y hoteles,Cuyo,6.800000000000001
Principales aperturas,Restaurantes y hoteles,Patagonia,5.1
Principales aperturas,Restaurantes y comidas fuera del hogar,GBA,10.299999999999999
Principales aperturas,Restaurantes y comidas fuera del hogar,Pampeana,7.8
Principales aperturas,Restaurantes y comidas fuera del hogar,Noreste,4.8
Principales aperturas,Restaurantes y comidas fuera del hogar,Noroeste,7.8
Principales aperturas,Restaurantes y comidas fuera del hogar,Cuyo,6.5
Principales aperturas,Restaurantes y comidas fuera del hogar,Patagonia,4.9
Principales aperturas,Bienes y servicios varios,GBA,3.5999999999999996
Principales aperturas,Bienes y servicios varios,Pampeana,3.5999999999999996
Principales aperturas,Bienes y servicios varios,Noreste,3.3000000000000003
Principales aperturas,Bienes y servicios varios,Noroeste,3.4000000000000004
Principales aperturas,Bienes y servicios varios,Cuyo,3.5999999999999996
Principales aperturas,Bienes y servicios varios,Patagonia,3.1
Principales aperturas,Cuidado personal,GBA,2.8000000000000003
Principales aperturas,Cuidado personal,Pampeana,3.1
Principales aperturas,Cuidado personal,Noreste,3.1
Principales aperturas,Cuidado personal,Noroeste,3.2
Principales aperturas,Cuidado personal,Cuyo,3.1
Principales aperturas,Cuidado personal,Patagonia,2.7
Categorias,Estacional,GBA,10.299999999999999
Categorias,Estacional,Pampeana,12.0
Categorias,Estacional,Noreste,12.5
Categorias,Estacional,Noroeste,12.8
Categorias,Estacional,Cuyo,11.700000000000001
